Gender,Married,Dependents,Education,Self_Employed,Credit_History,Property_Area,Loan_Status,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term
Female,Yes,0,Graduate,No,1.0,Semiurban,Y,2929.0,2333.0,139.0,360.0
Male,Yes,0,Not Graduate,No,0.0,Rural,N,3572.0,4114.0,152.0,342.0
Female,No,1,Graduate,Yes,1.0,Semiurban,Y,7451.0,0.0,146.41216216216216,360.0
Male,No,0,Graduate,No,1.0,Semiurban,Y,5050.0,0.0,118.0,360.0
Male,Yes,1,Graduate,No,1.0,Rural,Y,14583.0,0.0,185.0,180.0
Female,Yes,0,Graduate,No,1.0,Semiurban,Y,3167.0,2283.0,154.0,360.0
Male,Yes,1,Graduate,No,1.0,Urban,Y,2214.0,1398.0,85.0,360.0
Male,Yes,0,Graduate,No,1.0,Rural,N,5568.0,2142.0,175.0,360.0
Female,No,0,Graduate,No,1.0,Urban,Y,10408.0,0.0,259.0,360.0
Male,Yes,0,Graduate,No,1.0,Rural,Y,5667.0,2667.0,180.0,360.0
Female,No,0,Graduate,No,1.0,Semiurban,Y,4166.0,0.0,44.0,360.0
Female,No,0,Graduate,No,0.0,Semiurban,Y,2137.0,8980.0,137.0,360.0
Male,Yes,2,Graduate,No,1.0,Semiurban,Y,2957.0,0.0,81.0,360.0
Male,Yes,0,Not Graduate,No,1.0,Rural,Y,4300.0,2014.0,194.0,360.0
Female,No,0,Graduate,No,1.0,Rural,Y,3692.0,0.0,93.0,360.0
Male,Yes,3+,Graduate,No,1.0,Rural,Y,23803.0,0.0,370.0,360.0
Male,No,0,Graduate,No,1.0,Rural,Y,3865.0,1640.0,146.41216216216216,360.0
Male,Yes,1,Graduate,Yes,0.0,Urban,N,10513.0,3850.0,160.0,180.0
Male,Yes,0,Graduate,No,1.0,Rural,N,6080.0,2569.0,182.0,360.0
Male,No,0,Graduate,Yes,1.0,Urban,Y,20166.0,0.0,650.0,480.0
Male,No,0,Graduate,No,1.0,Urban,Y,2014.0,1929.0,74.0,360.0
Male,No,0,Graduate,No,1.0,Semiurban,Y,2718.0,0.0,70.0,360.0
Male,Yes,0,Graduate,Yes,1.0,Semiurban,Y,3459.0,0.0,25.0,120.0
Male,No,0,Graduate,No,1.0,Semiurban,Y,4895.0,0.0,102.0,360.0
Male,Yes,3+,Graduate,No,1.0,Semiurban,N,4000.0,7750.0,290.0,360.0
Female,Yes,0,Graduate,No,1.0,Rural,N,4583.0,0.0,84.0,360.0
Male,Yes,2,Graduate,Yes,1.0,Urban,Y,3316.0,3500.0,88.0,360.0
Male,No,0,Graduate,No,0.0,Semiurban,N,14999.0,0.0,242.0,360.0
Male,Yes,2,Not Graduate,No,1.0,Rural,N,4200.0,1430.0,129.0,360.0
Male,Yes,2,Graduate,No,1.0,Rural,N,5042.0,2083.0,185.0,360.0
Male,No,0,Graduate,No,1.0,Urban,Y,5417.0,0.0,168.0,360.0
Male,No,0,Graduate,Yes,1.0,Semiurban,Y,6950.0,0.0,175.0,180.0
Male,Yes,0,Graduate,No,1.0,Semiurban,Y,2698.0,2034.0,122.0,360.0
Male,Yes,2,Graduate,No,1.0,Urban,Y,11757.0,0.0,187.0,180.0
Female,Yes,0,Graduate,No,1.0,Semiurban,Y,2330.0,4486.0,100.0,360.0
Female,Yes,2,Graduate,No,1.0,Urban,Y,14866.0,0.0,70.0,360.0
Male,Yes,1,Graduate,No,1.0,Urban,Y,1538.0,1425.0,30.0,360.0
Female,No,0,Graduate,No,1.0,Rural,N,10000.0,1666.0,225.0,360.0
Male,Yes,0,Graduate,No,1.0,Semiurban,Y,4860.0,830.0,125.0,360.0
Male,No,0,Graduate,No,0.0,Rural,N,6277.0,0.0,118.0,360.0
Male,Yes,0,Graduate,Yes,1.0,Rural,Y,2577.0,3750.0,152.0,360.0
Male,No,0,Graduate,No,1.0,Urban,N,9166.0,0.0,244.0,360.0
Male,Yes,2,Not Graduate,No,1.0,Rural,N,2281.0,0.0,113.0,360.0
Male,No,0,Graduate,No,1.0,Urban,Y,3254.0,0.0,50.0,360.0
Male,Yes,3+,Graduate,No,0.0,Semiurban,Y,39999.0,0.0,600.0,180.0
Male,Yes,1,Graduate,No,1.0,Rural,Y,6000.0,0.0,160.0,360.0
Male,Yes,1,Graduate,No,1.0,Urban,Y,9538.0,0.0,187.0,360.0
Male,No,0,Graduate,No,1.0,Rural,Y,2980.0,2083.0,120.0,360.0
Male,Yes,0,Graduate,No,1.0,Semiurban,Y,4583.0,5625.0,255.0,360.0
Male,Yes,0,Not Graduate,No,1.0,Semiurban,Y,1863.0,1041.0,98.0,360.0
Male,Yes,0,Graduate,No,1.0,Urban,N,7933.0,0.0,275.0,360.0
Male,Yes,1,Graduate,No,0.0,Semiurban,N,3089.0,1280.0,121.0,360.0
Male,Yes,2,Graduate,No,1.0,Rural,Y,4167.0,1447.0,158.0,360.0
Male,Yes,0,Graduate,No,1.0,Urban,Y,9323.0,0.0,75.0,180.0
Male,Yes,0,Graduate,No,1.0,Rural,Y,3707.0,3166.0,182.0,342.0
Female,Yes,0,Graduate,No,1.0,Rural,N,4583.0,0.0,112.0,360.0
Male,Yes,0,Graduate,No,1.0,Rural,Y,2439.0,3333.0,129.0,360.0
Male,No,0,Graduate,No,0.0,Semiurban,N,2237.0,0.0,63.0,480.0
Male,Yes,2,Graduate,No,1.0,Semiurban,Y,8000.0,0.0,200.0,360.0
Male,Yes,0,Not Graduate,No,1.0,Rural,Y,1820.0,1769.0,95.0,360.0
Male,Yes,3+,Graduate,No,1.0,Urban,Y,51763.0,0.0,700.0,300.0
Male,Yes,3+,Not Graduate,No,1.0,Rural,N,3522.0,0.0,81.0,180.0
Male,Yes,0,Graduate,No,1.0,Semiurban,Y,5708.0,5625.0,187.0,360.0
Male,Yes,0,Not Graduate,Yes,1.0,Semiurban,N,4344.0,736.0,87.0,360.0
Male,Yes,0,Graduate,No,1.0,Rural,Y,3497.0,1964.0,116.0,360.0
Male,Yes,2,Graduate,No,1.0,Rural,Y,2045.0,1619.0,101.0,360.0
Male,Yes,3+,Graduate,No,0.0,Semiurban,N,5516.0,11300.0,495.0,360.0
Male,Yes,1,Graduate,No,1.0,Semiurban,Y,3750.0,0.0,116.0,360.0
Male,No,0,Not Graduate,No,0.0,Urban,N,2333.0,1451.0,102.0,480.0
Male,Yes,1,Graduate,No,0.0,Urban,N,6400.0,7250.0,180.0,360.0
Male,No,0,Graduate,No,1.0,Rural,N,1916.0,5063.0,67.0,360.0
Male,Yes,0,Graduate,No,1.0,Semiurban,Y,4600.0,0.0,73.0,180.0
Male,Yes,1,Graduate,No,1.0,Semiurban,N,33846.0,0.0,260.0,360.0
Female,Yes,0,Graduate,No,1.0,Semiurban,Y,3625.0,0.0,108.0,360.0
Male,Yes,0,Graduate,Yes,1.0,Semiurban,Y,39147.0,4750.0,120.0,360.0
Male,Yes,1,Graduate,Yes,0.0,Rural,N,2178.0,0.0,66.0,300.0
Male,Yes,0,Graduate,No,1.0,Rural,Y,2383.0,2138.0,58.0,360.0
Male,Yes,0,Graduate,Yes,1.0,Rural,Y,674.0,5296.0,168.0,360.0
Male,Yes,0,Graduate,No,1.0,Rural,Y,9328.0,0.0,188.0,180.0
Male,No,0,Not Graduate,No,1.0,Rural,Y,4885.0,0.0,48.0,360.0
Male,No,0,Graduate,No,1.0,Semiurban,N,12000.0,0.0,164.0,360.0
Male,Yes,0,Not Graduate,No,1.0,Urban,N,6033.0,0.0,160.0,360.0
Male,No,0,Graduate,No,1.0,Semiurban,Y,3858.0,0.0,76.0,360.0
Male,No,0,Graduate,No,1.0,Rural,Y,4191.0,0.0,120.0,360.0
Male,Yes,1,Graduate,No,1.0,Semiurban,N,3125.0,2583.0,170.0,360.0
Male,No,0,Graduate,No,1.0,Rural,Y,8333.0,3750.0,187.0,360.0
Female,No,0,Not Graduate,No,1.0,Urban,Y,1907.0,2365.0,120.0,342.0
Female,Yes,0,Graduate,No,1.0,Semiurban,Y,3416.0,2816.0,113.0,360.0
Male,No,0,Graduate,Yes,1.0,Urban,N,11000.0,0.0,83.0,360.0
Male,Yes,1,Not Graduate,No,1.0,Semiurban,Y,2600.0,2500.0,90.0,360.0
Male,No,2,Graduate,No,0.0,Semiurban,Y,4923.0,0.0,166.0,360.0
Male,Yes,3+,Not Graduate,No,1.0,Urban,N,3992.0,0.0,146.41216216216216,180.0
Male,Yes,1,Not Graduate,No,1.0,Urban,Y,3500.0,1083.0,135.0,360.0
Male,Yes,2,Not Graduate,No,1.0,Semiurban,Y,3917.0,0.0,124.0,360.0
Female,No,0,Not Graduate,No,1.0,Semiurban,Y,4408.0,0.0,120.0,360.0
Female,No,0,Graduate,No,1.0,Urban,Y,3244.0,0.0,80.0,360.0
Male,No,0,Not Graduate,No,1.0,Rural,Y,3975.0,2531.0,55.0,360.0
Male,No,0,Graduate,No,1.0,Urban,Y,2479.0,0.0,59.0,360.0
Male,No,0,Graduate,No,1.0,Semiurban,N,3418.0,0.0,127.0,360.0
Female,No,0,Graduate,No,1.0,Semiurban,N,10000.0,0.0,214.0,360.0
Male,Yes,3+,Graduate,No,0.0,Semiurban,N,3430.0,1250.0,128.0,360.0
Male,Yes,1,Graduate,Yes,1.0,Urban,Y,7787.0,0.0,240.0,360.0
Male,Yes,3+,Not Graduate,Yes,1.0,Rural,Y,5703.0,0.0,130.0,360.0
Male,Yes,0,Graduate,No,1.0,Urban,Y,3173.0,3021.0,137.0,360.0
Male,Yes,3+,Not Graduate,No,1.0,Semiurban,Y,3850.0,983.0,100.0,360.0
Male,Yes,0,Graduate,No,1.0,Rural,N,150.0,1800.0,135.0,360.0
Male,Yes,0,Graduate,No,1.0,Semiurban,Y,3727.0,1775.0,131.0,360.0
Male,Yes,2,Graduate,No,0.0,Semiurban,N,5000.0,0.0,72.0,360.0
Female,Yes,2,Graduate,No,1.0,Semiurban,Y,4283.0,2383.0,127.0,360.0
Male,Yes,0,Graduate,No,0.0,Urban,N,2221.0,0.0,60.0,360.0
Male,Yes,2,Graduate,No,1.0,Semiurban,Y,4009.0,1717.0,116.0,360.0
Male,No,0,Graduate,No,1.0,Semiurban,Y,2971.0,2791.0,144.0,360.0
Male,Yes,0,Graduate,No,1.0,Semiurban,Y,7578.0,1010.0,175.0,342.0
Male,Yes,0,Graduate,No,1.0,Semiurban,Y,6250.0,0.0,128.0,360.0
Male,Yes,0,Graduate,No,1.0,Rural,N,3250.0,0.0,170.0,360.0
Male,Yes,0,Not Graduate,Yes,1.0,Urban,N,4735.0,0.0,138.0,360.0
Male,Yes,2,Graduate,No,1.0,Semiurban,Y,6250.0,1695.0,210.0,360.0
Male,Yes,0,Graduate,No,1.0,Semiurban,Y,4758.0,0.0,158.0,480.0
Male,No,0,Graduate,Yes,1.0,Rural,Y,6400.0,0.0,200.0,360.0
Male,Yes,1,Graduate,No,1.0,Semiurban,Y,2491.0,2054.0,104.0,360.0
Male,Yes,0,Graduate,No,1.0,Rural,Y,3716.0,0.0,42.0,180.0
Male,No,0,Not Graduate,No,1.0,Rural,Y,3189.0,2598.0,120.0,342.0
Female,No,0,Graduate,No,1.0,Semiurban,Y,8333.0,0.0,280.0,360.0
Male,Yes,1,Graduate,No,1.0,Semiurban,Y,3155.0,1779.0,140.0,360.0
Male,Yes,1,Graduate,No,1.0,Rural,Y,5500.0,1260.0,170.0,360.0
Male,Yes,0,Graduate,No,1.0,Urban,N,5746.0,0.0,255.0,360.0
Female,No,0,Graduate,Yes,1.0,Urban,Y,3463.0,0.0,122.0,360.0
Female,No,1,Graduate,No,1.0,Rural,Y,3812.0,0.0,112.0,360.0
Male,Yes,1,Graduate,No,1.0,Semiurban,Y,3315.0,0.0,96.0,360.0
Male,Yes,2,Graduate,No,1.0,Rural,Y,5819.0,5000.0,120.0,360.0
Male,Yes,1,Not Graduate,No,1.0,Urban,N,2510.0,1983.0,140.0,180.0
Male,No,0,Graduate,No,1.0,Urban,Y,2965.0,5701.0,155.0,60.0
Male,Yes,2,Graduate,Yes,1.0,Rural,Y,6250.0,1300.0,108.0,360.0
Male,Yes,0,Not Graduate,No,1.0,Semiurban,Y,3406.0,4417.0,123.0,360.0
Male,No,0,Graduate,Yes,1.0,Urban,N,6050.0,4333.0,120.0,180.0
Male,Yes,2,Graduate,No,1.0,Urban,Y,9703.0,0.0,112.0,360.0
Male,Yes,1,Not Graduate,No,1.0,Urban,Y,6608.0,0.0,137.0,180.0
Male,Yes,1,Graduate,No,1.0,Semiurban,Y,2882.0,1843.0,123.0,480.0
Male,Yes,0,Graduate,No,1.0,Urban,Y,1809.0,1868.0,90.0,360.0
Male,Yes,0,Not Graduate,No,0.0,Semiurban,N,1668.0,3890.0,201.0,360.0
Female,No,2,Graduate,No,1.0,Urban,N,3427.0,0.0,138.0,360.0
Male,No,0,Not Graduate,Yes,1.0,Rural,Y,2583.0,2167.0,104.0,360.0
Male,Yes,1,Not Graduate,No,1.0,Semiurban,Y,2661.0,7101.0,279.0,180.0
Male,No,0,Graduate,Yes,0.0,Urban,N,16250.0,0.0,192.0,360.0
Female,No,3+,Graduate,No,1.0,Rural,Y,3083.0,0.0,255.0,360.0
Male,No,0,Not Graduate,No,0.0,Rural,N,6045.0,0.0,115.0,360.0
Male,Yes,3+,Graduate,No,1.0,Urban,N,5250.0,0.0,94.0,360.0
Male,Yes,0,Graduate,No,1.0,Rural,N,14683.0,2100.0,304.0,360.0
Male,Yes,3+,Not Graduate,No,1.0,Semiurban,N,4931.0,0.0,128.0,360.0
Male,Yes,1,Graduate,No,1.0,Urban,Y,6083.0,4250.0,330.0,360.0
Male,No,0,Graduate,No,1.0,Semiurban,Y,2060.0,2209.0,134.0,360.0
Female,No,1,Graduate,No,1.0,Semiurban,N,3481.0,0.0,155.0,36.0
Female,No,0,Graduate,No,1.0,Rural,Y,7200.0,0.0,120.0,360.0
Male,No,0,Graduate,Yes,1.0,Semiurban,Y,5166.0,0.0,128.0,360.0
Male,No,0,Graduate,No,1.0,Rural,Y,4095.0,3447.0,151.0,360.0
Male,Yes,2,Graduate,No,1.0,Semiurban,Y,4708.0,1387.0,150.0,360.0
Male,Yes,3+,Graduate,No,0.0,Urban,Y,4333.0,1811.0,160.0,360.0
Female,No,0,Graduate,No,1.0,Rural,N,3418.0,0.0,135.0,360.0
Female,No,1,Graduate,No,1.0,Urban,Y,2876.0,1560.0,90.0,360.0
Female,No,0,Graduate,No,1.0,Urban,Y,3237.0,0.0,30.0,360.0
Male,Yes,0,Graduate,No,1.0,Urban,Y,11146.0,0.0,136.0,360.0
Male,No,0,Graduate,No,1.0,Rural,Y,2833.0,1857.0,126.0,360.0
Male,Yes,0,Graduate,No,1.0,Semiurban,Y,2620.0,2223.0,150.0,360.0
Male,Yes,2,Graduate,No,1.0,Semiurban,Y,3900.0,0.0,90.0,360.0
Male,Yes,1,Graduate,No,1.0,Semiurban,Y,2750.0,1842.0,115.0,360.0
Male,Yes,0,Graduate,No,1.0,Semiurban,Y,3993.0,3274.0,207.0,360.0
Male,Yes,0,Graduate,No,1.0,Urban,Y,3103.0,1300.0,80.0,360.0
Male,Yes,0,Graduate,No,1.0,Semiurban,Y,14583.0,0.0,436.0,360.0
Female,Yes,0,Not Graduate,No,1.0,Rural,Y,4100.0,0.0,124.0,360.0
Male,No,1,Not Graduate,Yes,0.0,Urban,N,4053.0,2426.0,158.0,360.0
Male,Yes,0,Graduate,No,1.0,Semiurban,Y,3927.0,800.0,112.0,360.0
Male,Yes,2,Graduate,No,1.0,Urban,Y,2301.0,985.7999878,78.0,180.0
Female,No,0,Graduate,No,1.0,Urban,Y,1811.0,1666.0,54.0,360.0
Male,Yes,0,Graduate,No,1.0,Rural,N,20667.0,0.0,146.41216216216216,360.0
Male,No,0,Graduate,No,1.0,Rural,Y,3158.0,3053.0,89.0,360.0
Female,No,0,Graduate,Yes,1.0,Semiurban,N,2600.0,1717.0,99.0,300.0
Male,Yes,0,Graduate,No,1.0,Rural,Y,3704.0,2000.0,120.0,360.0
Female,No,0,Graduate,No,1.0,Semiurban,Y,4124.0,0.0,115.0,360.0
Male,No,0,Graduate,No,1.0,Rural,Y,9508.0,0.0,187.0,360.0
Male,Yes,0,Graduate,No,1.0,Rural,Y,3075.0,2416.0,139.0,360.0
Male,Yes,2,Graduate,No,0.0,Semiurban,N,4400.0,0.0,127.0,360.0
Male,Yes,2,Graduate,No,1.0,Urban,Y,3153.0,1560.0,134.0,360.0
Female,No,0,Graduate,No,0.0,Urban,N,5417.0,0.0,143.0,480.0
Male,Yes,0,Graduate,No,1.0,Semiurban,Y,2383.0,3334.0,172.0,360.0
Male,Yes,3+,Graduate,No,1.0,Urban,Y,4416.0,1250.0,110.0,360.0
Male,Yes,1,Graduate,No,1.0,Semiurban,Y,6875.0,0.0,200.0,360.0
Female,Yes,1,Graduate,No,1.0,Urban,Y,4666.0,0.0,135.0,360.0
Female,No,0,Graduate,No,1.0,Rural,N,5000.0,2541.0,151.0,480.0
Male,Yes,1,Graduate,No,1.0,Urban,N,2014.0,2925.0,113.0,360.0
Male,Yes,0,Not Graduate,No,0.0,Urban,N,1800.0,2934.0,93.0,360.0
Male,Yes,0,Not Graduate,No,1.0,Semiurban,Y,2875.0,1750.0,105.0,360.0
Female,No,0,Graduate,No,1.0,Rural,Y,5000.0,0.0,132.0,360.0
Male,Yes,1,Graduate,No,1.0,Urban,Y,1625.0,1803.0,96.0,360.0
Male,No,0,Graduate,No,1.0,Rural,Y,4000.0,2500.0,140.0,360.0
Male,No,0,Not Graduate,No,1.0,Urban,N,2000.0,0.0,146.41216216216216,360.0
